customer_id,name,email,signup_date,location,segment
C0230,Christopher Rodriguez,christopher.rodriguez230@example.com,2021-08-25,San Diego,Regular
C0231,James Anderson,james.anderson231@example.com,2021-12-08,Phoenix,Occasional
C0232,Joseph Lopez,joseph.lopez232@example.com,2021-02-07,San Jose,Regular
C0233,Jessica Rodriguez,jessica.rodriguez233@example.com,2021-11-24,San Diego,Occasional
C0234,Richard Thomas,richard.thomas234@example.com,2021-04-12,Los Angeles,Occasional
C0235,Charles Lopez,charles.lopez235@example.com,2021-07-15,San Jose,Regular
C0236,Barbara Smith,barbara.smith236@example.com,2021-12-25,San Antonio,Occasional
C0237,Charles Johnson,charles.johnson237@example.com,2021-01-05,San Jose,Occasional
C0238,Matthew Davis,matthew.davis238@example.com,2021-05-27,San Jose,New
C0239,Christopher Miller,christopher.miller239@example.com,2021-04-23,San Jose,Occasional
C0240,Matthew Jones,matthew.jones240@example.com,2021-12-14,Los Angeles,Occasional
C0241,Margaret Anderson,margaret.anderson241@example.com,2021-06-08,New York,Premium
C0242,John Martinez,john.martinez242@example.com,2021-03-09,Philadelphia,Occasional
C0243,Michael Jones,michael.jones243@example.com,2021-03-31,Dallas,New
C0244,Thomas Rodriguez,thomas.rodriguez244@example.com,2021-09-29,Chicago,Occasional
C0245,Margaret Martinez,margaret.martinez245@example.com,2021-09-04,Philadelphia,Occasional
C0246,John Jones,john.jones246@example.com,2021-08-28,Houston,Premium
C0247,Susan Williams,susan.williams247@example.com,2021-10-13,San Antonio,New
C0248,Karen Brown,karen.brown248@example.com,2021-05-16,San Diego,Premium
C0249,Betty Rodriguez,betty.rodriguez249@example.com,2021-12-11,San Jose,Occasional
C0250,Susan Brown,susan.brown250@example.com,2021-11-23,Houston,New
C0251,Lisa Moore,lisa.moore251@example.com,2021-01-13,Philadelphia,New
C0252,John Anderson,john.anderson252@example.com,2021-11-28,Phoenix,Regular
C0253,Robert Johnson,robert.johnson253@example.com,2021-03-01,New York,New
C0254,Patricia Brown,patricia.brown254@example.com,2021-09-10,Houston,Occasional
C0255,Joseph Lopez,joseph.lopez255@example.com,2021-07-18,Dallas,Regular
C0256,Betty Jones,betty.jones256@example.com,2021-10-28,San Antonio,New
C0257,Lisa Wilson,lisa.wilson257@example.com,2021-09-08,Phoenix,Premium
C0258,Susan Miller,susan.miller258@example.com,2021-12-20,San Diego,Premium
C0259,Sandra Lopez,sandra.lopez259@example.com,2021-05-01,Los Angeles,New
C0260,Mark Lopez,mark.lopez260@example.com,2021-10-06,New York,Occasional
C0261,Michael Brown,michael.brown261@example.com,2021-05-22,San Diego,New
C0262,Michael Martin,michael.martin262@example.com,2021-12-06,New York,Premium
C0263,Linda Jones,linda.jones263@example.com,2021-06-20,San Jose,Premium
C0264,Anthony Moore,anthony.moore264@example.com,2021-02-05,Houston,Regular
C0265,David Jones,david.jones265@example.com,2021-04-30,San Jose,Regular
C0266,Sandra Jones,sandra.jones266@example.com,2021-05-22,Chicago,Premium
C0267,Patricia Smith,patricia.smith267@example.com,2021-03-31,Chicago,Occasional
C0268,Margaret Davis,margaret.davis268@example.com,2021-07-03,San Jose,Premium
C0269,Jennifer Rodriguez,jennifer.rodriguez269@example.com,2021-01-09,New York,Occasional
C0270,Thomas Brown,thomas.brown270@example.com,2021-08-04,Los Angeles,Regular
C0271,Matthew Lopez,matthew.lopez271@example.com,2021-08-18,Dallas,New
C0272,Thomas Davis,thomas.davis272@example.com,2021-08-20,San Jose,Premium
C0273,Thomas Martinez,thomas.martinez273@example.com,2021-12-04,San Diego,Premium
C0274,Sarah Gonzalez,sarah.gonzalez274@example.com,2021-02-01,San Antonio,Premium
C0275,Daniel Anderson,daniel.anderson275@example.com,2021-09-09,Los Angeles,Premium
C0276,Lisa Jones,lisa.jones276@example.com,2021-06-14,Los Angeles,Premium
C0277,Lisa Jackson,lisa.jackson277@example.com,2021-05-21,Dallas,Regular
C0278,Lisa Taylor,lisa.taylor278@example.com,2021-07-15,Phoenix,Occasional
C0279,Lisa Wilson,lisa.wilson279@example.com,2021-09-16,Los Angeles,New
C0280,Christopher Moore,christopher.moore280@example.com,2021-12-02,Houston,Premium
C0281,Mark Davis,mark.davis281@example.com,2021-08-20,San Antonio,New
C0282,Richard Wilson,richard.wilson282@example.com,2021-08-21,Los Angeles,Occasional
C0283,David Rodriguez,david.rodriguez283@example.com,2021-08-07,Philadelphia,Occasional
C0284,Ashley Thomas,ashley.thomas284@example.com,2021-12-18,Los Angeles,Regular
C0285,John Wilson,john.wilson285@example.com,2021-02-13,Los Angeles,Premium
C0286,Karen Johnson,karen.johnson286@example.com,2021-03-08,San Jose,Occasional
C0287,Patricia Wilson,patricia.wilson287@example.com,2021-12-10,Philadelphia,Occasional
C0288,Barbara Martin,barbara.martin288@example.com,2021-01-27,Phoenix,New
C0289,Charles Taylor,charles.taylor289@example.com,2021-02-23,Houston,Occasional
C0290,Sarah Davis,sarah.davis290@example.com,2021-12-03,Los Angeles,Regular
C0291,Susan Brown,susan.brown291@example.com,2021-10-12,Phoenix,Occasional
C0292,Sandra Moore,sandra.moore292@example.com,2021-08-08,San Jose,Regular
C0293,Ashley Rodriguez,ashley.rodriguez293@example.com,2021-11-08,New York,Premium
C0294,Daniel Martinez,daniel.martinez294@example.com,2021-05-20,Philadelphia,Regular
C0295,Jennifer Jones,jennifer.jones295@example.com,2021-01-04,San Jose,Occasional
C0296,Robert Smith,robert.smith296@example.com,2021-02-05,Los Angeles,New
C0297,Jessica Anderson,jessica.anderson297@example.com,2021-07-12,Philadelphia,Regular
C0298,Barbara Hernandez,barbara.hernandez298@example.com,2021-07-09,San Jose,Regular
C0299,Robert Garcia,robert.garcia299@example.com,2021-01-27,San Jose,Premium
C0300,John Rodriguez,john.rodriguez300@example.com,2021-12-12,San Diego,Premium
