customer_id,name,email,signup_date,location,segment,customer_age_days,last_purchase_date,frequency,monetary,avg_order_value,max_order_value,num_categories,preferred_category,recency_days,total_orders_raw,discount_order_rate,return_rate,avg_days_between_orders,is_churned,r_score,f_score,m_score,rfm_score,rfm_cell,rfm_segment,cluster,cluster_label
C0034,Mark Jackson,mark.jackson34@example.com,2021-05-04,Los Angeles,Premium,972,2023-04-16,8,2297.69,287.21,498.19,5.0,Home & Garden,260,9,0.2222,0.1111,67.14,1,3,4,5,12,345,Potential Loyalists,3,Premium
C0035,Anthony Williams,anthony.williams35@example.com,2021-09-06,Dallas,Premium,847,2023-08-27,9,2827.91,314.21,441.54,6.0,Clothing,127,14,0.5,0.3571,59.62,1,4,5,5,14,455,Loyal Customers,3,Premium
C0036,Nancy Thomas,nancy.thomas36@example.com,2021-03-07,Dallas,Regular,1030,2022-07-10,7,797.83,113.98,161.14,4.0,Electronics,540,9,0.6667,0.2222,21.67,1,2,4,4,10,244,Needs Attention,2,High Value
C0037,Thomas Martin,thomas.martin37@example.com,2021-05-16,San Antonio,Regular,960,2023-04-22,4,351.4,87.85,130.59,4.0,Automotive,254,4,0.25,0.0,135.33,1,3,3,3,9,333,Potential Loyalists,2,High Value
C0038,Matthew Miller,matthew.miller38@example.com,2021-10-04,Phoenix,Regular,819,2023-11-05,9,1044.98,116.11,197.13,5.0,Toys,57,9,0.5556,0.0,84.0,0,4,5,4,13,454,Loyal Customers,2,High Value
C0039,Christopher Lopez,christopher.lopez39@example.com,2021-12-10,San Diego,New,752,2022-06-11,2,164.27,82.14,124.99,2.0,Books,569,2,0.5,0.0,69.0,1,2,1,2,5,212,About to Sleep,0,Low Value
C0040,Linda Davis,linda.davis40@example.com,2021-03-03,Los Angeles,New,1034,2022-03-31,2,164.35,82.18,131.1,2.0,Automotive,641,3,0.3333,0.3333,74.0,1,1,1,2,4,112,Hibernating,0,Low Value
C0041,Charles Moore,charles.moore41@example.com,2021-01-11,Houston,Occasional,1085,2022-11-27,5,275.94,55.19,90.09,5.0,Home & Garden,400,5,0.4,0.0,79.75,1,2,3,3,8,233,Needs Attention,2,High Value
C0042,John Johnson,john.johnson42@example.com,2021-01-04,Houston,Regular,1092,2023-05-06,8,1154.47,144.31,198.2,7.0,Automotive,240,9,0.5556,0.1111,61.14,1,3,4,4,11,344,Potential Loyalists,2,High Value
C0043,Sandra Hernandez,sandra.hernandez43@example.com,2021-01-17,Los Angeles,Premium,1079,2023-09-09,14,4004.27,286.02,473.41,6.0,Clothing,114,17,0.4118,0.1765,47.38,1,4,5,5,14,455,Loyal Customers,3,Premium
C0044,Nancy Thomas,nancy.thomas44@example.com,2021-05-23,Houston,Regular,953,2023-09-21,4,646.41,161.6,195.65,4.0,Home & Garden,102,5,0.4,0.2,94.0,1,4,3,4,11,434,Loyal Customers,2,High Value
C0045,Charles Thomas,charles.thomas45@example.com,2021-10-20,Houston,Regular,803,2022-11-17,7,660.45,94.35,163.43,5.0,Books,410,7,0.7143,0.0,51.17,1,2,4,4,10,244,Needs Attention,2,High Value
C0046,Michael Brown,michael.brown46@example.com,2021-07-28,Los Angeles,New,887,2023-05-03,2,251.46,125.73,143.38,2.0,Health,243,3,0.6667,0.3333,181.0,1,3,1,3,7,313,Promising,1,Mid Value
C0047,Jessica Wilson,jessica.wilson47@example.com,2021-07-01,San Diego,New,914,2022-08-11,1,46.25,46.25,46.25,1.0,Home & Garden,508,1,0.0,0.0,,1,2,1,1,4,211,About to Sleep,0,Low Value
C0048,Christopher Brown,christopher.brown48@example.com,2021-12-11,New York,Premium,751,2023-10-01,8,2506.17,313.27,456.75,7.0,Health,92,9,0.6667,0.1111,89.43,1,4,4,5,13,445,Loyal Customers,3,Premium
C0049,Margaret Brown,margaret.brown49@example.com,2021-06-23,Houston,New,922,2022-09-06,2,142.49,71.24,118.73,2.0,Beauty,482,3,0.6667,0.3333,140.0,1,2,1,2,5,212,About to Sleep,0,Low Value
C0050,Karen Anderson,karen.anderson50@example.com,2021-04-08,Chicago,Regular,998,2023-12-23,4,371.98,93.0,129.77,3.0,Food & Grocery,9,4,0.5,0.0,172.67,0,5,3,3,11,533,Loyal Customers,1,Mid Value
C0051,William Anderson,william.anderson51@example.com,2021-04-04,Houston,New,1002,2023-11-25,1,46.88,46.88,46.88,1.0,Toys,37,1,0.0,0.0,,0,5,1,1,7,511,Recent Customers,1,Mid Value
C0052,Margaret Moore,margaret.moore52@example.com,2021-08-15,Los Angeles,Premium,869,2023-12-31,7,1930.26,275.75,357.42,7.0,Toys,1,10,0.8,0.3,120.17,0,5,4,4,13,544,Champions,3,Premium
C0053,Karen Smith,karen.smith53@example.com,2021-11-30,Los Angeles,Premium,762,2023-11-02,16,4271.06,266.94,478.35,8.0,Health,60,18,0.6111,0.1111,38.6,0,4,5,5,14,455,Loyal Customers,3,Premium
C0054,Jessica Thomas,jessica.thomas54@example.com,2021-03-27,San Diego,Regular,1010,2022-02-23,8,931.44,116.43,171.21,6.0,Clothing,677,8,0.375,0.0,7.43,1,1,4,4,9,144,At Risk,2,High Value
C0055,Mark Johnson,mark.johnson55@example.com,2021-07-25,Chicago,Regular,890,2023-10-22,5,647.5,129.5,168.54,5.0,Books,71,5,0.4,0.0,145.75,0,4,3,4,11,434,Loyal Customers,2,High Value
C0056,Richard Rodriguez,richard.rodriguez56@example.com,2021-01-02,San Diego,New,1094,2023-12-08,2,157.47,78.74,123.99,2.0,Home & Garden,24,2,0.5,0.0,217.0,0,5,1,2,8,512,Recent Customers,1,Mid Value
C0057,Daniel Moore,daniel.moore57@example.com,2021-08-05,San Diego,Occasional,879,2023-09-19,2,69.91,34.96,52.46,2.0,Home & Garden,104,2,1.0,0.0,259.0,1,4,1,1,6,411,Recent Customers,1,Mid Value
C0058,Barbara Miller,barbara.miller58@example.com,2021-04-08,New York,Regular,998,2023-11-17,6,823.97,137.33,194.92,4.0,Clothing,45,9,0.6667,0.3333,91.2,0,5,4,4,13,544,Champions,2,High Value
C0059,Mary Johnson,mary.johnson59@example.com,2021-06-10,San Jose,Premium,935,2023-11-19,13,4091.53,314.73,469.18,7.0,Health,43,18,0.5556,0.2778,52.67,0,5,5,5,15,555,Champions,3,Premium
C0060,Ashley Taylor,ashley.taylor60@example.com,2021-09-15,Chicago,New,838,2022-04-13,2,183.83,91.92,129.12,2.0,Home & Garden,628,2,1.0,0.0,74.0,1,1,1,2,4,112,Hibernating,0,Low Value
C0061,John Garcia,john.garcia61@example.com,2021-09-18,Los Angeles,Premium,835,2023-12-14,11,3481.37,316.49,479.13,7.0,Beauty,18,13,0.4615,0.1538,48.3,0,5,5,5,15,555,Champions,3,Premium
C0062,Sandra Davis,sandra.davis62@example.com,2021-12-12,San Antonio,Premium,750,2023-11-30,9,2457.9,273.1,478.25,7.0,Books,32,9,0.5556,0.0,82.25,0,5,5,5,15,555,Champions,3,Premium
C0063,Linda Jackson,linda.jackson63@example.com,2021-10-19,San Jose,Premium,804,2022-12-25,9,2352.11,261.35,437.95,6.0,Beauty,372,13,0.2308,0.3077,44.38,1,3,5,5,13,355,Potential Loyalists,3,Premium
C0064,John Wilson,john.wilson64@example.com,2021-11-14,San Jose,Premium,778,2023-12-31,10,3670.95,367.1,474.45,8.0,Home & Garden,1,13,0.6923,0.2308,80.56,0,5,5,5,15,555,Champions,3,Premium
C0066,Robert Martinez,robert.martinez66@example.com,2021-07-22,San Diego,Occasional,893,2023-11-01,4,190.62,47.66,70.53,3.0,Clothing,61,5,0.4,0.2,98.33,0,4,3,2,9,432,Potential Loyalists,1,Mid Value
C0067,James Anderson,james.anderson67@example.com,2021-02-07,San Jose,Occasional,1058,2023-08-28,4,283.4,70.85,90.72,2.0,Toys,126,4,0.5,0.0,146.33,1,4,3,3,10,433,Loyal Customers,1,Mid Value
C0068,Karen Miller,karen.miller68@example.com,2021-02-07,Dallas,Premium,1058,2023-09-14,6,1732.7,288.78,447.43,6.0,Home & Garden,109,9,0.7778,0.3333,95.0,1,4,4,4,12,444,Loyal Customers,3,Premium
C0069,Ashley Lopez,ashley.lopez69@example.com,2021-03-09,Los Angeles,Occasional,1028,2023-07-11,2,109.17,54.58,59.42,2.0,Automotive,174,4,1.0,0.5,266.0,1,3,1,1,5,311,Promising,1,Mid Value
C0070,Barbara Garcia,barbara.garcia70@example.com,2021-07-09,San Diego,Regular,906,2023-07-25,6,741.68,123.61,187.4,4.0,Automotive,160,6,0.6667,0.0,72.4,1,3,4,4,11,344,Potential Loyalists,2,High Value
C0071,Margaret Taylor,margaret.taylor71@example.com,2021-11-10,New York,Occasional,782,2022-01-26,2,162.58,81.29,95.39,2.0,Automotive,705,3,0.6667,0.3333,1.0,1,1,2,2,5,122,Hibernating,0,Low Value
C0072,Patricia Jones,patricia.jones72@example.com,2021-12-06,Phoenix,Occasional,756,2023-11-22,3,204.9,68.3,92.78,3.0,Electronics,40,5,0.8,0.4,327.0,0,5,2,2,9,522,Potential Loyalists,1,Mid Value
C0073,Betty Moore,betty.moore73@example.com,2021-02-24,Chicago,Premium,1041,2023-08-12,11,2957.11,268.83,416.07,7.0,Food & Grocery,142,12,0.75,0.0833,51.4,1,3,5,5,13,355,Potential Loyalists,3,Premium
C0074,Lisa Miller,lisa.miller74@example.com,2021-05-25,Philadelphia,Occasional,951,2023-06-08,2,104.48,52.24,55.66,2.0,Health,207,2,0.5,0.0,237.0,1,3,2,1,6,321,Promising,1,Mid Value
C0075,Christopher Rodriguez,christopher.rodriguez75@example.com,2021-12-18,Dallas,Regular,744,2023-12-17,10,1100.65,110.06,152.54,7.0,Toys,15,10,0.6,0.0,78.56,0,5,5,4,14,554,Champions,2,High Value
C0076,Mark Johnson,mark.johnson76@example.com,2021-05-09,Los Angeles,New,967,2022-07-04,2,109.53,54.76,66.84,2.0,Automotive,546,3,0.3333,0.3333,51.0,1,2,2,1,5,221,About to Sleep,0,Low Value
C0077,Mary Smith,mary.smith77@example.com,2021-05-22,Philadelphia,New,954,2022-03-01,3,245.25,81.75,102.12,3.0,Home & Garden,671,3,0.6667,0.0,11.5,1,1,2,3,6,123,Lost,0,Low Value
C0078,William Garcia,william.garcia78@example.com,2021-11-23,San Diego,Regular,769,2023-08-25,8,797.85,99.73,195.75,7.0,Clothing,129,8,0.5,0.0,61.43,1,4,4,4,12,444,Loyal Customers,2,High Value
C0079,James Brown,james.brown79@example.com,2021-10-15,Los Angeles,New,808,2022-11-20,3,315.54,105.18,138.16,3.0,Health,407,3,0.3333,0.0,45.0,1,2,2,3,7,223,About to Sleep,0,Low Value
C0080,Mary Lopez,mary.lopez80@example.com,2021-10-07,San Jose,Regular,816,2023-04-26,3,272.25,90.75,120.97,2.0,Toys,250,4,0.5,0.25,170.5,1,3,2,3,8,323,Potential Loyalists,1,Mid Value
C0081,Robert Johnson,robert.johnson81@example.com,2021-08-09,Phoenix,Regular,875,2023-12-12,7,704.96,100.71,199.65,5.0,Food & Grocery,20,7,0.2857,0.0,72.0,0,5,4,4,13,544,Champions,2,High Value
C0082,Mark Lopez,mark.lopez82@example.com,2021-01-21,Houston,Occasional,1075,2022-01-19,1,61.17,61.17,61.17,1.0,Home & Garden,712,1,1.0,0.0,,1,1,1,1,3,111,Hibernating,0,Low Value
C0083,Patricia Lopez,patricia.lopez83@example.com,2021-12-08,Dallas,Regular,754,2023-01-30,8,999.07,124.88,196.88,5.0,Clothing,336,10,0.6,0.2,53.86,1,3,4,4,11,344,Potential Loyalists,2,High Value
C0084,Betty Jones,betty.jones84@example.com,2021-11-14,Houston,New,778,2022-03-10,2,127.76,63.88,83.09,2.0,Food & Grocery,662,3,0.0,0.3333,48.0,1,1,2,2,5,122,Hibernating,0,Low Value
C0085,Mark Wilson,mark.wilson85@example.com,2021-04-01,New York,Regular,1005,2023-07-09,5,738.29,147.66,161.91,4.0,Automotive,176,5,0.4,0.0,138.5,1,3,3,4,10,334,Potential Loyalists,2,High Value
C0086,Margaret Wilson,margaret.wilson86@example.com,2021-06-20,Houston,Regular,925,2023-08-08,8,1089.24,136.16,188.14,5.0,Sports,146,10,0.7,0.2,78.86,1,3,4,4,11,344,Potential Loyalists,2,High Value
C0087,Margaret Brown,margaret.brown87@example.com,2021-03-23,San Antonio,Occasional,1014,2023-11-05,3,210.78,70.26,96.74,3.0,Beauty,57,4,0.75,0.25,256.0,0,4,2,3,9,423,Potential Loyalists,1,Mid Value
C0088,Linda Miller,linda.miller88@example.com,2021-08-29,San Diego,Premium,855,2022-04-09,15,4358.78,290.59,470.7,9.0,Sports,632,17,0.4706,0.1176,7.0,1,1,5,5,11,155,At Risk,3,Premium
C0089,Anthony Davis,anthony.davis89@example.com,2021-06-06,Houston,Occasional,939,2022-06-06,3,197.17,65.72,98.95,3.0,Health,574,3,1.0,0.0,72.0,1,1,2,2,5,122,Hibernating,0,Low Value
C0090,Michael Gonzalez,michael.gonzalez90@example.com,2021-12-04,Philadelphia,Premium,758,2023-12-12,13,3737.34,287.49,465.19,9.0,Health,20,17,0.5882,0.2353,58.0,0,5,5,5,15,555,Champions,3,Premium
C0091,Matthew Rodriguez,matthew.rodriguez91@example.com,2021-02-05,Philadelphia,Occasional,1060,2022-04-04,2,107.98,53.99,80.06,2.0,Toys,637,2,0.0,0.0,90.0,1,1,2,1,4,121,Hibernating,0,Low Value
C0092,Anthony Moore,anthony.moore92@example.com,2021-12-14,Philadelphia,New,748,2023-09-20,3,192.91,64.3,112.56,3.0,Sports,103,3,1.0,0.0,23.5,1,4,2,2,8,422,Potential Loyalists,1,Mid Value
C0093,Mark Rodriguez,mark.rodriguez93@example.com,2021-03-01,Chicago,Premium,1036,2023-11-19,12,4035.27,336.27,451.45,8.0,Beauty,43,15,0.5333,0.2,61.09,0,5,5,5,15,555,Champions,3,Premium
C0094,Patricia Martin,patricia.martin94@example.com,2021-01-20,San Antonio,Occasional,1076,2022-08-03,2,132.57,66.28,91.38,2.0,Food & Grocery,516,2,1.0,0.0,188.0,1,2,2,2,6,222,About to Sleep,0,Low Value
C0095,Jessica Martin,jessica.martin95@example.com,2021-06-10,Dallas,Occasional,935,2022-09-10,2,101.86,50.93,68.43,2.0,Food & Grocery,478,4,0.75,0.5,250.0,1,2,2,1,5,221,About to Sleep,0,Low Value
C0096,Mark Jackson,mark.jackson96@example.com,2021-07-17,Houston,Premium,898,2023-12-18,11,3638.99,330.82,483.25,7.0,Books,14,17,0.6471,0.3529,66.6,0,5,5,5,15,555,Champions,3,Premium
C0097,Daniel Wilson,daniel.wilson97@example.com,2021-01-23,New York,Occasional,1073,2022-12-14,5,314.89,62.98,86.46,3.0,Beauty,383,5,0.6,0.0,84.5,1,2,3,3,8,233,Needs Attention,0,Low Value
C0098,Jessica Williams,jessica.williams98@example.com,2021-07-06,Philadelphia,Regular,909,2023-06-03,8,981.31,122.66,165.83,5.0,Automotive,212,8,0.75,0.0,70.43,1,3,4,4,11,344,Potential Loyalists,2,High Value
C0099,Sandra Brown,sandra.brown99@example.com,2021-12-06,Phoenix,Occasional,756,2022-06-09,2,63.13,31.56,42.07,2.0,Home & Garden,571,3,1.0,0.3333,130.0,1,2,2,1,5,221,About to Sleep,0,Low Value
C0100,Jessica Hernandez,jessica.hernandez100@example.com,2021-12-08,San Antonio,Occasional,754,2022-02-24,1,90.76,90.76,90.76,1.0,Food & Grocery,676,2,0.5,0.5,,1,1,1,1,3,111,Hibernating,0,Low Value
C0101,Robert Miller,robert.miller101@example.com,2021-10-11,San Antonio,Occasional,812,2023-11-18,2,44.95,22.48,23.27,2.0,Food & Grocery,44,2,0.5,0.0,140.0,0,5,2,1,8,521,Recent Customers,1,Mid Value
C0102,Betty Garcia,betty.garcia102@example.com,2021-12-13,San Jose,New,749,2023-09-24,1,53.55,53.55,53.55,1.0,Beauty,99,1,0.0,0.0,,1,4,1,1,6,411,Recent Customers,1,Mid Value
C0103,Karen Smith,karen.smith103@example.com,2021-07-27,Phoenix,Occasional,888,2022-03-03,3,191.32,63.77,65.2,3.0,Automotive,669,4,0.75,0.25,8.5,1,1,2,2,5,122,Hibernating,0,Low Value
C0104,Jessica Jackson,jessica.jackson104@example.com,2021-04-18,San Jose,Occasional,988,2022-06-01,2,98.72,49.36,74.0,2.0,Home & Garden,579,4,0.75,0.5,41.0,1,1,2,1,4,121,Hibernating,0,Low Value
C0105,Joseph Anderson,joseph.anderson105@example.com,2021-08-27,Houston,Occasional,857,2023-09-03,1,80.56,80.56,80.56,1.0,Toys,120,1,1.0,0.0,,1,4,1,1,6,411,Recent Customers,1,Mid Value
C0106,Nancy Williams,nancy.williams106@example.com,2021-03-28,Phoenix,New,1009,2023-08-18,1,137.42,137.42,137.42,1.0,Electronics,136,1,1.0,0.0,,1,3,1,2,6,312,Promising,1,Mid Value
C0107,Anthony Davis,anthony.davis107@example.com,2021-02-17,Phoenix,Occasional,1048,2022-10-23,4,173.82,43.46,64.53,4.0,Books,435,5,0.6,0.2,65.0,1,2,3,2,7,232,Lost,0,Low Value
C0108,Robert Smith,robert.smith108@example.com,2021-04-12,New York,Regular,994,2022-04-29,8,947.35,118.42,195.75,5.0,Home & Garden,612,8,0.875,0.0,14.43,1,1,4,4,9,144,At Risk,2,High Value
C0109,Lisa Williams,lisa.williams109@example.com,2021-09-01,San Diego,Regular,852,2023-12-09,6,709.17,118.2,184.03,4.0,Health,23,8,0.5,0.25,125.4,0,5,4,4,13,544,Champions,2,High Value
C0111,Linda Jones,linda.jones111@example.com,2021-07-24,New York,New,891,2022-07-09,3,304.16,101.39,121.73,3.0,Sports,541,3,0.3333,0.0,50.0,1,2,2,3,7,223,About to Sleep,0,Low Value
C0112,Linda Garcia,linda.garcia112@example.com,2021-08-06,Dallas,Premium,878,2023-10-20,9,2744.45,304.94,465.44,6.0,Beauty,73,11,0.7273,0.1818,75.5,0,4,5,5,14,455,Loyal Customers,3,Premium
C0113,Karen Davis,karen.davis113@example.com,2021-01-26,Los Angeles,New,1070,2022-05-14,1,68.87,68.87,68.87,1.0,Health,597,1,0.0,0.0,,1,1,1,1,3,111,Hibernating,0,Low Value
C0114,Margaret Anderson,margaret.anderson114@example.com,2021-03-10,Dallas,New,1027,2022-02-28,2,241.04,120.52,121.02,2.0,Beauty,672,2,0.0,0.0,23.0,1,1,2,3,6,123,Lost,0,Low Value
C0115,Lisa Taylor,lisa.taylor115@example.com,2021-08-15,San Antonio,Occasional,869,2022-03-04,3,81.69,27.23,33.56,2.0,Clothing,668,3,0.6667,0.0,18.5,1,1,2,1,4,121,Hibernating,0,Low Value
C0116,Betty Thomas,betty.thomas116@example.com,2021-03-23,San Diego,New,1014,2022-06-02,1,104.87,104.87,104.87,1.0,Electronics,578,1,1.0,0.0,,1,1,1,1,3,111,Hibernating,0,Low Value
C0117,Anthony Rodriguez,anthony.rodriguez117@example.com,2021-05-07,Dallas,Occasional,969,2023-08-12,2,76.22,38.11,60.91,2.0,Food & Grocery,142,2,1.0,0.0,188.0,1,3,2,1,6,321,Promising,1,Mid Value
C0118,Linda Rodriguez,linda.rodriguez118@example.com,2021-11-17,San Diego,New,775,2022-06-24,3,347.21,115.74,145.78,3.0,Clothing,556,3,0.6667,0.0,48.5,1,2,2,3,7,223,About to Sleep,0,Low Value
C0119,Barbara Davis,barbara.davis119@example.com,2022-01-01,Phoenix,Premium,730,2023-10-21,15,4429.3,295.29,474.0,7.0,Health,72,18,0.6111,0.1667,45.21,0,4,5,5,14,455,Loyal Customers,3,Premium
C0120,Mark Moore,mark.moore120@example.com,2021-06-13,Los Angeles,Occasional,932,2022-03-21,5,211.38,42.28,71.96,4.0,Electronics,651,5,0.6,0.0,16.75,1,1,3,3,7,133,Lost,0,Low Value
C0121,Linda Gonzalez,linda.gonzalez121@example.com,2021-03-19,Chicago,Regular,1018,2023-08-30,6,631.41,105.24,181.53,4.0,Home & Garden,124,7,0.8571,0.1429,106.8,1,4,4,4,12,444,Loyal Customers,2,High Value
